customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
SYN-00000,Female,1,No,Yes,53,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),111.72,5881.04,No
SYN-00001,Male,0,No,Yes,8,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),67.07,576.7,Yes
SYN-00002,Male,0,Yes,No,7,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),54.3,376.59,No
SYN-00003,Female,1,Yes,Yes,69,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,107.01,7407.82,Yes
SYN-00004,Female,0,Yes,No,13,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,65.49,881.41,No
SYN-00005,Male,0,Yes,Yes,45,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),109.53,4951.97,No
SYN-00006,Female,1,No,Yes,10,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,44.85,464.79,Yes
SYN-00007,Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),24.59,511.95,Yes
SYN-00008,Male,1,Yes,No,48,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,86.96,4172.59,No
SYN-00009,Male,1,Yes,No,47,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),37.68,1732.05,No
SYN-00010,Male,0,No,No,54,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),21.41,1144.3,No
SYN-00011,Male,0,No,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),31.28,2201.22,No
SYN-00012,Female,0,Yes,Yes,67,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),33.55,2205.31,Yes
SYN-00013,Male,1,Yes,No,23,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,83.29,1940.15,Yes
SYN-00014,Male,1,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.61,1542.62,No
SYN-00015,Male,1,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Electronic check,23.44,0.0,No
SYN-00016,Female,0,Yes,Yes,61,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),41.53,2578.95,Yes
SYN-00017,Male,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.92,885.01,No
SYN-00018,Female,1,No,Yes,57,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),38.8,2181.62,No
SYN-00019,Female,0,No,No,66,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),38.95,2608.61,No
SYN-00020,Male,0,No,No,19,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),80.39,1498.28,No
